STATE_NAME,NAMELSAD,lat,lon,geometry,
Nebraska,Cuming County,41.91632378,-96.78739973,c(-96.7873997280125, 41.9163237820587)
Washington,Wahkiakum County,46.29115848,-123.4333474,c(-123.433347414895, 46.2911584785049)
New Mexico,De Baca County,34.3422521,-104.4120852,c(-104.412085223527, 34.3422521001445)
Nebraska,Lancaster County,40.78390326,-96.68775722,c(-96.6877572249371, 40.7839032640554)
Nebraska,Nuckolls County,40.1763042,-98.0471852,c(-98.0471852004944, 40.1763041963169)
South Dakota,Minnehaha County,43.67417601,-96.79143761,c(-96.7914376149351, 43.6741760135905)
Texas,Menard County,30.88977819,-99.82058346,c(-99.8205834623948, 30.8897781890174)
California,Sierra County,39.58070868,-120.5160112,c(-120.516011209158, 39.5807086797164)
Kentucky,Clinton County,36.72744679,-85.13601203,c(-85.1360120282668, 36.727446786238)
Ohio,Hancock County,41.00185795,-83.6665849,c(-83.6665848964122, 41.0018579533669)
Texas,Hale County,34.07037333,-101.8268812,c(-101.82688115835, 34.0703733331124)
Alabama,Clay County,33.26902729,-85.86067376,c(-85.8606737626423, 33.2690272926483)
Texas,Armstrong County,34.96483257,-101.3574087,c(-101.357408698137, 34.9648325654712)
Ohio,Allen County,40.77154031,-84.10581061,c(-84.1058106139967, 40.771540306922)
Georgia,McDuffie County,33.48276006,-82.48131175,c(-82.4813117510895, 33.4827600623696)
Wisconsin,Sauk County,43.42651501,-89.94822176,c(-89.9482217581842, 43.4265150130197)
Arkansas,Stone County,35.8598477,-92.15667361,c(-92.1566736101835, 35.859847698144)
Oregon,Wallowa County,45.57928366,-117.1801937,c(-117.180193674192, 45.5792836641322)
Pennsylvania,Beaver County,40.68215344,-80.34935756,c(-80.3493575622132, 40.6821534350216)
Mississippi,Jasper County,32.01905022,-89.11888756,c(-89.1188875614465, 32.0190502212397)
Missouri,Henry County,38.38512642,-93.7927463,c(-93.7927462999755, 38.3851264197372)
Colorado,Saguache County,38.08071961,-106.2808542,c(-106.280854191289, 38.0807196142397)
North Carolina,Chatham County,35.70260367,-79.25539492,c(-79.2553949193088, 35.7026036695482)
Utah,Rich County,41.63154582,-111.2443847,c(-111.244384714627, 41.6315458163663)
Oklahoma,Adair County,35.883679,-94.65869863,c(-94.6586986290184, 35.8836790011747)
Ohio,Lake County,41.90997618,-81.25112893,c(-81.251128928539, 41.9099761800805)
Virginia,Salem city,37.28640316,-80.05547007,c(-80.0554700654314, 37.2864031626047)
Virginia,Montgomery County,37.17423577,-80.38726595,c(-80.387265952482, 37.1742357732787)
Tennessee,Hamilton County,35.18066655,-85.16486971,c(-85.1648697148539, 35.1806665455931)
New Mexico,Otero County,32.61200348,-105.7404863,c(-105.740486287322, 32.6120034790621)
New Mexico,Catron County,33.91416207,-108.4050483,c(-108.405048320709, 33.9141620654457)
