OBJECTID,GID,CITY_NM,CITY_NBR,CITY_FIPS,INC_FLAG,CNTY_SEAT,POP1990,POP2000,POP2010,POP2020,CNTY_NBR,DIST_NBR
1,124,Fink,,4825836,N,N,,,,,92,1
2,1232,Lively,,4843084,N,N,,,,,130,18
3,1233,Stubbs,,0,N,N,,,,,130,18
4,1234,Peeltown,,0,N,N,,,,,130,18
5,1235,Tolosa,,4873304,N,N,,,,,130,18
6,1236,Elmo,,4823356,N,N,,,768,,130,18
7,1237,Judson,,4838212,N,N,,,,,93,10
8,1238,Footes,,0,N,N,,,,,93,10
9,1239,Liberty City,,4842616,N,N,,,,,93,10
10,1240,Hughey,,0,N,N,,,,,93,10
11,1241,Elderville,,4822924,N,N,,,,,93,10
12,125,Britton,,4810360,N,N,,,,,71,18
13,1242,Rolling Meadows,,4862990,N,N,,,,,93,10
14,1243,Dogwood City,,0,N,N,,,,,212,10
15,1244,Teaselville,,4872032,N,N,,,,,212,10
16,1245,James Town,,0,N,N,,,,,212,10
17,1246,Red Springs,,4861292,N,N,,,,,12,3
18,1247,Garden Valley,,4828260,N,N,,,,,212,10
19,1248,Sand Flat,,4865132,N,N,,,,,212,10
20,1249,Starrville,,4870100,N,N,,,,,212,10
21,1250,Mount Sylvan,,4849836,N,N,,,,,212,10
22,1251,Owentown,,4854504,N,N,,,,,212,10
23,126,Crisp,,4817732,N,N,,,,,71,18
24,1252,Swan,,4871432,N,N,,,,,212,10
25,1253,Browning,,4810732,N,N,,,,,212,10
26,1254,Bascom,,4805792,N,N,,,,,212,10
27,1255,Chapel Hill,,4814272,N,N,,,,,212,10
28,1256,Swinneytown,,0,N,N,,,,,212,10
29,1257,Copeland,,4816594,N,N,,,,,212,10
30,1258,Gresham,,4831076,N,N,,,,,212,10
31,1259,Omen,,4854036,N,N,,,,,212,10
32,1260,Blackjack,,4808440,N,N,,,,,37,10
33,1261,Wright City,,4880332,N,N,,,,,212,10
34,127,Parker,,4855164,N,N,,,3811,5442,127,2
35,1262,Antioch,,4803444,N,N,,,,,34,19
36,1263,Flint,,4826076,N,N,,,,,212,10
37,1264,Walnut Grove,,4876312,N,N,,,,,212,10
38,1265,Reagor Springs,,4860920,N,N,,,,,71,18
39,1266,Howard,,4835048,N,N,,,,,71,18
40,1267,Five Points,,4825956,N,N,,,,,71,18
41,1268,Ensign,,4824408,N,N,,,,,71,18
42,1269,Forreston,,4826628,N,N,,,,,71,18
43,1270,Avalon,,4805060,N,N,,,,,71,18
44,1271,India,,4835876,N,N,,,,,71,18
45,128,Lillian,,4842736,N,N,,,,,127,2
46,1272,Trumbull,,4873784,N,N,,,,,71,18
47,1273,Rockett,,4862684,N,N,,,,,71,18
48,1274,Bristol,,4810336,N,N,,,668,,71,18
49,1275,Mountain Peak,,4849632,N,N,,,,,71,18
50,1276,Ike,,4835768,N,N,,,,,71,18
51,1277,Boyce,,4809724,N,N,,,,,71,18
52,1278,Telico,,4872140,N,N,,,,,71,18
53,1279,Griffith,,4831172,N,N,,,,,40,5
54,1280,Bluff Dale,,4808932,N,N,,,,,73,2
55,1281,Huckabay,,4835204,N,N,,,,,73,2
56,129,Happy Hill,,4832168,N,N,,,,,127,2
57,1282,Lingleville,,4842880,N,N,,,,,73,2
58,1283,Bunyan,,4811320,N,N,,,,,73,2
59,1284,Chalk Mountain,,4814128,N,N,,,,,73,2
60,1285,Highland,,4833692,N,N,,,,,73,2
61,1286,Johnsville,,4837864,N,N,,,,,73,2
62,1287,Selden,,4866668,N,N,,,,,73,2
63,1288,Lone Oak,25200,4843636,Y,N,521,521,598,699,117,1
64,1289,Singleton,,4868024,N,N,,,,,94,17
65,1290,Keith,,4838584,N,N,,,,,94,17
66,1291,Shiro,,4867664,N,N,,,,,94,17
67,130,Egan,,4822780,N,N,,,,,127,2
68,1292,Carlos,,4812868,N,N,,,,,94,17
69,1293,Roans Prairie,,4862516,N,N,,,,,94,17
