"","LocationAbbr","CMMR_Barcode","Target","Ct","copiesperml","SampleName","date_of_collection"
"1","JT","PFGRWE","CHIKUNGUNYA","Undetermined",0,"JT-23-16174",2023-06-01
"2","JT","PFGRWE","CHIKUNGUNYA","Undetermined",0,"JT-23-16174",2023-06-01
"3","FH","Q4MXHS","CHIKUNGUNYA","Undetermined",0,"FH-23-16175",2023-06-01
"4","FH","Q4MXHS","CHIKUNGUNYA","Undetermined",0,"FH-23-16175",2023-06-01
"5","HS","M2R98S","CHIKUNGUNYA","Undetermined",0,"HS-23-16176",2023-06-01
"6","HS","M2R98S","CHIKUNGUNYA","Undetermined",0,"HS-23-16176",2023-06-01
"7","RB","A9Y94T","CHIKUNGUNYA","Undetermined",0,"RB-23-16177",2023-06-01
"8","RB","A9Y94T","CHIKUNGUNYA","Undetermined",0,"RB-23-16177",2023-06-01
"9","LB","G9BBYC","CHIKUNGUNYA","Undetermined",0,"LB_TX1 005312023",2023-05-31
"10","LB","G9BBYC","CHIKUNGUNYA","Undetermined",0,"LB_TX1 005312023",2023-05-31
"11","WF","QKDWNF","CHIKUNGUNYA","Undetermined",0,"Wichita Falls-2023-05-31",2023-05-31
"12","WF","QKDWNF","CHIKUNGUNYA","Undetermined",0,"Wichita Falls-2023-05-31",2023-05-31
"13","B1","L2N2CZ","CHIKUNGUNYA","Undetermined",0,"BSR53123",2023-06-01
"14","B1","L2N2CZ","CHIKUNGUNYA","Undetermined",0,"BSR53123",2023-06-01
"15","B2","ZR846F","CHIKUNGUNYA","Undetermined",0,"SABIB53123",2023-06-01
"16","B2","ZR846F","CHIKUNGUNYA","Undetermined",0,"SABIB53123",2023-06-01
"17","BC","WLFVVY","CHIKUNGUNYA","Undetermined",0,"BTC-2023-05-28",2023-05-28
"18","BC","WLFVVY","CHIKUNGUNYA","Undetermined",0,"BTC-2023-05-28",2023-05-28
"19","BW","K5XABF","CHIKUNGUNYA","Undetermined",0,"BTW-2023-05-28",2023-05-28
"20","BW","K5XABF","CHIKUNGUNYA","Undetermined",0,"BTW-2023-05-28",2023-05-28
"21","HW","XKMKGH","CHIKUNGUNYA","Undetermined",0,"HW-2023-05-28",2023-05-28
"22","HW","XKMKGH","CHIKUNGUNYA","Undetermined",0,"HW-2023-05-28",2023-05-28
"23","FR","HU3LQX","CHIKUNGUNYA","Undetermined",0,"Fon-2023-05-28",2023-05-28
"24","FR","HU3LQX","CHIKUNGUNYA","Undetermined",0,"Fon-2023-05-28",2023-05-28
"25","TC","MRUD6W","CHIKUNGUNYA","Undetermined",0,"TC-23-0601",2023-06-01
"26","TC","MRUD6W","CHIKUNGUNYA","Undetermined",0,"TC-23-0601",2023-06-01
"27","MC","NW3NEY","CHIKUNGUNYA","Undetermined",0,"CC-23-0601",2023-06-01
"28","MC","NW3NEY","CHIKUNGUNYA","Undetermined",0,"CC-23-0601",2023-06-01
"29","IA","V639HT","CHIKUNGUNYA","Undetermined",0,"IA-23-0601",2023-06-01
"30","IA","V639HT","CHIKUNGUNYA","Undetermined",0,"IA-23-0601",2023-06-01
"31","PT","BASRPU","CHIKUNGUNYA","Undetermined",0,"PT-23-0601",2023-06-01
"32","PT","BASRPU","CHIKUNGUNYA","Undetermined",0,"PT-23-0601",2023-06-01
"33","HO","VLDXXX","CHIKUNGUNYA","Undetermined",0,"HO-23-0601",2023-06-01
"34","HO","VLDXXX","CHIKUNGUNYA","Undetermined",0,"HO-23-0601",2023-06-01
"35","JT","PFGRWE","DENGUE","Undetermined",0,"JT-23-16174",2023-06-01
"36","JT","PFGRWE","DENGUE","Undetermined",0,"JT-23-16174",2023-06-01
"37","FH","Q4MXHS","DENGUE","Undetermined",0,"FH-23-16175",2023-06-01
"38","FH","Q4MXHS","DENGUE","Undetermined",0,"FH-23-16175",2023-06-01
"39","HS","M2R98S","DENGUE","Undetermined",0,"HS-23-16176",2023-06-01
