,LocationAbbr,CMMR_Barcode,Target,Ct,copiesperml,SampleName,date_of_collection
1,Almeda Sims,unknown,SARSCOV2N1,Undetermined,4435.73384519368,unknown,2022-05-09
2,Fred Hurvey,NA,SARSCOV2N1,NA,0,NA,2022-05-09
3,Haskell,NA,SARSCOV2N1,NA,0,NA,2022-05-09
4,Homestead,NA,SARSCOV2N1,NA,0,NA,2022-05-09
5,Intercontinental Airport,unknown,SARSCOV2N1,Undetermined,2611.37177265001,unknown,2022-05-09
6,John T. Hickerson,NA,SARSCOV2N1,NA,0,NA,2022-05-09
7,Metro Central,unknown,SARSCOV2N1,Undetermined,13269.9322430821,unknown,2022-05-09
8,Park Ten,unknown,SARSCOV2N1,Undetermined,5194.91424405057,unknown,2022-05-09
9,Roberto Bustamante,NA,SARSCOV2N1,NA,0,NA,2022-05-09
10,Turkey Creek,unknown,SARSCOV2N1,Undetermined,6596.11259165588,unknown,2022-05-09
11,Almeda Sims,unknown,SARSCOV2N1,Undetermined,9091.6539877754,unknown,2022-05-16
12,Fred Hurvey,FH-22-13981,SARSCOV2N1,Undetermined,29800,FH-22-13981,2022-05-16
13,Haskell,HS-22-13982,SARSCOV2N1,Undetermined,13165,HS-22-13982,2022-05-16
14,Homestead,NA,SARSCOV2N1,NA,0,NA,2022-05-16
15,Intercontinental Airport,unknown,SARSCOV2N1,Undetermined,18374.8390659356,unknown,2022-05-16
16,John T. Hickerson,JT-22-13980,SARSCOV2N1,Undetermined,42000,JT-22-13980,2022-05-16
17,Metro Central,NA,SARSCOV2N1,NA,0,NA,2022-05-16
18,Park Ten,NA,SARSCOV2N1,NA,0,NA,2022-05-16
19,Roberto Bustamante,RB-22-13983,SARSCOV2N1,Undetermined,59500,RB-22-13983,2022-05-16
20,Turkey Creek,unknown,SARSCOV2N1,Undetermined,3070.83019365008,unknown,2022-05-16
21,Almeda Sims,unknown,SARSCOV2N1,Undetermined,10519.5639377914,unknown,2022-05-23
22,Fred Hurvey,FH-22-14834,SARSCOV2N1,Undetermined,251500,FH-22-14834,2022-05-23
23,Haskell,HS-22-14835,SARSCOV2N1,Undetermined,40700,HS-22-14835,2022-05-23
24,Homestead,unknown,SARSCOV2N1,Undetermined,2753.6007,unknown,2022-05-23
25,Intercontinental Airport,unknown,SARSCOV2N1,Undetermined,14977.8456406706,unknown,2022-05-23
26,John T. Hickerson,JT-22-14833,SARSCOV2N1,Undetermined,127500,JT-22-14833,2022-05-23
27,Metro Central,unknown,SARSCOV2N1,Undetermined,12242.4603277473,unknown,2022-05-23
28,Park Ten,unknown,SARSCOV2N1,Undetermined,526.99220234845,unknown,2022-05-23
29,Roberto Bustamante,RB-22-14836,SARSCOV2N1,Undetermined,169000,RB-22-14836,2022-05-23
30,Turkey Creek,unknown,SARSCOV2N1,Undetermined,9244.87329636785,unknown,2022-05-23
31,Almeda Sims,unknown,SARSCOV2N1,Undetermined,9669.7911105727,unknown,2022-05-30
32,Fred Hurvey,FH-22-15316,SARSCOV2N1,Undetermined,160500,FH-22-15316,2022-05-30
33,Haskell,HS-22-15317,SARSCOV2N1,Undetermined,290500,HS-22-15317,2022-05-30
34,Homestead,NA,SARSCOV2N1,NA,0,NA,2022-05-30
35,Intercontinental Airport,unknown,SARSCOV2N1,Undetermined,19563.6259427763,unknown,2022-05-30
36,John T. Hickerson,JT-22-15315,SARSCOV2N1,Undetermined,93650,JT-22-15315,2022-05-30
37,Metro Central,unknown,SARSCOV2N1,Undetermined,54982.3811403657,unknown,2022-05-30
38,Park Ten,unknown,SARSCOV2N1,Undetermined,32933.8800109888,unknown,2022-05-30
39,Roberto Bustamante,RB-22-15318,SARSCOV2N1,Undetermined,154000,RB-22-15318,2022-05-30
40,Turkey Creek,NA,SARSCOV2N1,NA,0,NA,2022-05-30
41,Almeda Sims,unknown,SARSCOV2N1,Undetermined,2615.44820977965,unknown,2022-06-06
42,Fred Hurvey,FH-22-16021,SARSCOV2N1,Undetermined,118850,FH-22-16021,2022-06-06
43,Haskell,HS-22-16022,SARSCOV2N1,Undetermined,97100,HS-22-16022,2022-06-06
44,Homestead,unknown,SARSCOV2N1,Undetermined,3156.86348785116,unknown,2022-06-06
45,Intercontinental Airport,unknown,SARSCOV2N1,Undetermined,3767.85786730069,unknown,2022-06-06
46,John T. Hickerson,JT-22-16020,SARSCOV2N1,Undetermined,39950,JT-22-16020,2022-06-06
47,Metro Central,unknown,SARSCOV2N1,Undetermined,1483.39155461217,unknown,2022-06-06
48,Park Ten,unknown,SARSCOV2N1,Undetermined,5185.27663682607,unknown,2022-06-06
49,Roberto Bustamante,RB-22-16023,SARSCOV2N1,Undetermined,46735,RB-22-16023,2022-06-06
50,Turkey Creek,unknown,SARSCOV2N1,Undetermined,23284.2500067864,unknown,2022-06-06
51,Almeda Sims,unknown,SARSCOV2N1,Undetermined,25920.4716009724,unknown,2022-06-13
52,Fred Hurvey,FH-22-17202,SARSCOV2N1,Undetermined,241000,FH-22-17202,2022-06-13
53,Haskell,HS-22-17203,SARSCOV2N1,Undetermined,329500,HS-22-17203,2022-06-13
54,Homestead,NA,SARSCOV2N1,NA,0,NA,2022-06-13
55,Intercontinental Airport,unknown,SARSCOV2N1,Undetermined,27273.4245581138,unknown,2022-06-13
56,John T. Hickerson,JT-22-17201,SARSCOV2N1,Undetermined,91600,JT-22-17201,2022-06-13
57,Metro Central,unknown,SARSCOV2N1,Undetermined,13283.7385194263,unknown,2022-06-13
58,Park Ten,unknown,SARSCOV2N1,Undetermined,85588.8305577133,unknown,2022-06-13
59,Roberto Bustamante,RB-22-17204,SARSCOV2N1,Undetermined,354500,RB-22-17204,2022-06-13
60,Turkey Creek,unknown,SARSCOV2N1,Undetermined,14405.0200344391,unknown,2022-06-13
61,Almeda Sims,unknown,SARSCOV2N1,Undetermined,30867.2356575764,unknown,2022-06-20
62,Fred Hurvey,FH-22-17674,SARSCOV2N1,Undetermined,275000,FH-22-17674,2022-06-20
63,Haskell,HS-22-17675,SARSCOV2N1,Undetermined,202800,HS-22-17675,2022-06-20
64,Homestead,unknown,SARSCOV2N1,Undetermined,69869.5683440032,unknown,2022-06-20
65,Intercontinental Airport,unknown,SARSCOV2N1,Undetermined,28858.3788937024,unknown,2022-06-20
66,John T. Hickerson,JT-22-17673,SARSCOV2N1,Undetermined,36785,JT-22-17673,2022-06-20
67,Metro Central,unknown,SARSCOV2N1,Undetermined,14271.3638785359,unknown,2022-06-20
68,Park Ten,unknown,SARSCOV2N1,Undetermined,2139.14228728327,unknown,2022-06-20
69,Roberto Bustamante,RB-22-17676,SARSCOV2N1,Undetermined,314500,RB-22-17676,2022-06-20
70,Turkey Creek,unknown,SARSCOV2N1,Undetermined,32601.6569369832,unknown,2022-06-20
71,Almeda Sims,unknown,SARSCOV2N1,Undetermined,14715.9417527838,unknown,2022-06-27
72,Fred Hurvey,FH-22-18443,SARSCOV2N1,Undetermined,184400,FH-22-18443,2022-06-27
73,Haskell,HS-22-18444,SARSCOV2N1,Undetermined,107900,HS-22-18444,2022-06-27
74,Homestead,unknown,SARSCOV2N1,Undetermined,38063.9510883999,unknown,2022-06-27
75,Intercontinental Airport,unknown,SARSCOV2N1,Undetermined,289969.671334096,unknown,2022-06-27
76,John T. Hickerson,JT-22-18442,SARSCOV2N1,Undetermined,99950,JT-22-18442,2022-06-27
77,Metro Central,unknown,SARSCOV2N1,Undetermined,3187.37543681853,unknown,2022-06-27
78,Park Ten,unknown,SARSCOV2N1,Undetermined,13800.6951740841,unknown,2022-06-27
79,Roberto Bustamante,RB-22-18445,SARSCOV2N1,Undetermined,222800,RB-22-18445,2022-06-27
80,Turkey Creek,unknown,SARSCOV2N1,Undetermined,11329.833928065,unknown,2022-06-27
81,Almeda Sims,NA,SARSCOV2N1,NA,0,NA,2022-07-04
82,Fred Hurvey,FH-22-19328,SARSCOV2N1,Undetermined,191300,FH-22-19328,2022-07-04
83,Haskell,NA,SARSCOV2N1,NA,0,NA,2022-07-04
84,Homestead,unknown,SARSCOV2N1,Undetermined,415106.01638764,unknown,2022-07-04
85,Intercontinental Airport,unknown,SARSCOV2N1,Undetermined,487308.727191295,unknown,2022-07-04
86,John T. Hickerson,JT-22-19227,SARSCOV2N1,Undetermined,44600,JT-22-19227,2022-07-04
87,Metro Central,unknown,SARSCOV2N1,Undetermined,324362.019471786,unknown,2022-07-04
88,Park Ten,unknown,SARSCOV2N1,Undetermined,294418.760189452,unknown,2022-07-04
89,Roberto Bustamante,RB-22-19329,SARSCOV2N1,Undetermined,66565,RB-22-19329,2022-07-04
90,Turkey Creek,unknown,SARSCOV2N1,Undetermined,542844.143714909,unknown,2022-07-04
91,Almeda Sims,unknown,SARSCOV2N1,Undetermined,111553.091002721,unknown,2022-07-11
92,Fred Hurvey,FH-22-19911,SARSCOV2N1,Undetermined,2275000,FH-22-19911,2022-07-11
93,Haskell,HS-22-19912,SARSCOV2N1,Undetermined,1022000,HS-22-19912,2022-07-11
94,Homestead,unknown,SARSCOV2N1,Undetermined,736750.294708324,unknown,2022-07-11
95,Intercontinental Airport,unknown,SARSCOV2N1,Undetermined,442060.396176766,unknown,2022-07-11
96,John T. Hickerson,JT-22-19910,SARSCOV2N1,Undetermined,248000,JT-22-19910,2022-07-11
97,Metro Central,unknown,SARSCOV2N1,Undetermined,1314729.61958294,unknown,2022-07-11
98,Park Ten,unknown,SARSCOV2N1,Undetermined,645794.752531313,unknown,2022-07-11
99,Roberto Bustamante,RB-22-19913,SARSCOV2N1,Undetermined,3520000,RB-22-19913,2022-07-11
100,Turkey Creek,unknown,SARSCOV2N1,Undetermined,801792.987771319,unknown,2022-07-11
101,Almeda Sims,NA,SARSCOV2N1,NA,0,NA,2022-07-18
102,Fred Hurvey,FH-22-20960,SARSCOV2N1,Undetermined,1725000,FH-22-20960,2022-07-18
103,Haskell,HS-22-20961,SARSCOV2N1,Undetermined,522500,HS-22-20961,2022-07-18
104,Homestead,NA,SARSCOV2N1,NA,0,NA,2022-07-18
