accession	reference_length	covered_bases	reads_aligned	mean_coverage	RPKM	sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	sample_ID	seq_pool_ID	total_filtered_reads_in_sample
NC_039897.1	7745	1567	408	6.973535	1.96981	Norovirus GI/Hu/JP/2007/GI.P3_GI.3/Shimizu/KK2866, complete genome	1529909	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GI/Hu/JP/2007/GI.P3_GI.3/Shimizu/KK2866	Norovirus GI/Hu/JP/2007/GI.P3_GI.3/Shimizu/KK2866	ZEF38J	p1623	26743314
NC_040876.1	7521	5082	1737	32.37661	8.63593	Norovirus GII.P7_GII.6, complete genome	122929	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII	Norovirus GII	ZEF38J	p1623	26743314
NC_039477.1	7567	4915	1475	27.898342	7.28875	Norovirus GII, complete genome	122929	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII	Norovirus GII	ZEF38J	p1623	26743314
NC_039475.1	7556	5826	996	18.773697	4.92892	Norovirus GII.17, complete genome	552592	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.17	Norovirus GII.17	ZEF38J	p1623	26743314
NC_039476.1	7536	1796	358	6.6914434	1.77634	Norovirus GII.2 strain Env/CHN/2016/GII.P16-GII.2/BJSMQ, complete genome	490039	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.2	Norovirus GII.2	ZEF38J	p1623	26743314
KX868289.2	33676	33548	20007	81.08507	22.215	Human adenovirus 12 isolate GyK010, complete genome	28282	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	Human adenovirus 12	Human adenovirus 12	ZEF38J	p1623	26743314
AM749299.1	33763	11365	1349	5.5626097	1.49402	Human adenovirus type 31 complete genome, serotype 31	10529	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	Human adenovirus 31	Human adenovirus 31	ZEF38J	p1623	26743314
KX384958.1	35250	20684	3218	12.362507	3.41359	Human adenovirus B3 strain T382/Ft Jackson South Carolina USA/2002, complete genome	45659	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	Human adenovirus B3	Human adenovirus B3	ZEF38J	p1623	26743314
AC_000007.1	35937	10228	1553	5.984212	1.6159	Human adenovirus 2, complete genome	10515	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 2	Human adenovirus 2	ZEF38J	p1623	26743314
JQ326209.1	35153	19456	4792	19.245207	5.09729	Human adenovirus 19, complete genome	28278	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus 19	Human adenovirus 19	ZEF38J	p1623	26743314
NC_012564.1	5242	5136	2271	57.56618	16.1996	Human bocavirus 3, complete genome	638313	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Primate bocaparvovirus 1	Human bocavirus 3	Human bocavirus 3	ZEF38J	p1623	26743314
NC_012042.1	5196	3567	2168	55.238407	15.6018	Human bocavirus 2c PK isolate PK-5510, complete genome	1511882	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Primate bocaparvovirus 2	Human bocavirus 2c PK	Human bocavirus 2c PK	ZEF38J	p1623	26743314
NC_012729.2	5104	1829	156	3.6762211	1.14287	Human bocavirus 4 NI strain HBoV4-NI-385, complete genome	1511883	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Primate bocaparvovirus 2	Human bocavirus 4 NI	Human bocavirus 4 NI	ZEF38J	p1623	26743314
NC_045512.2	29903	4892	466	2.1493294	0.582715	Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome coronavirus 2	Severe acute respiratory syndrome coronavirus 2	ZEF38J	p1623	26743314
KY316160.1	34169	34169	87727	353.94943	96.0032	Human adenovirus 41 isolate SH/2015/D16, complete genome	10524	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	Human adenovirus 41	Human adenovirus 41	ZEF38J	p1623	26743314
L19443.1	34214	30831	11975	47.996212	13.0875	Human adenovirus F, complete genome	130309	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	unclassified Human mastadenovirus F subspecies/strain	unclassified Human mastadenovirus F strain	ZEF38J	p1623	26743314
AB010145.1	8251	2023	226	3.79484	1.0242	Aichi virus genomic RNA, complete genome	1313215	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Aichi virus 1	Aichi virus 1	ZEF38J	p1623	26743314
AB186897.1	2525	2386	818	46.36758	12.1137	Human picobirnavirus RNA segment 1 genomic RNA, complete sequence	145856	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Picobirnaviridae	Orthopicobirnavirus	Orthopicobirnavirus hominis	Human picobirnavirus	Human picobirnavirus	ZEF38J	p1623	26743314
AB308374.1	6673	5116	8435	179.09367	47.266	Mamastrovirus 1 genomic RNA, complete genome, isolate: V1347	1239565	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	unclassified Mamastrovirus 1 subspecies/strain	unclassified Mamastrovirus 1 strain	ZEF38J	p1623	26743314
AB614356.1	7476	6690	3255	61.72222	16.2805	Sapovirus Hu/GI.2/BR-DF01/BRA/2009 RNA, complete genome	985691	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/GI.2/BR-DF01/BRA/2009	Sapovirus Hu/GI.2/BR-DF01/BRA/2009	ZEF38J	p1623	26743314
AB792642.1	1062	1025	5673	863.4386	199.744	Feline rotavirus A VP7 gene for VP7 protein, complete cds, strain: RVA/Cat-tc/JPN/FRV-1/1986/G3P[9]	31564	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Feline rotavirus	Feline rotavirus A	Feline rotavirus A	ZEF38J	p1623	26743314
AF043303.1	4679	4626	2658	81.04438	21.2416	Adeno-associated virus 2, complete genome	10804	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Adeno-associated dependoparvovirus A	adeno-associated virus 2	adeno-associated virus 2	ZEF38J	p1623	26743314
AF260508.1	6759	4986	17346	363.33847	95.9625	Human astrovirus type 8, complete genome	43358	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 8	Human astrovirus 8	ZEF38J	p1623	26743314
AF368034.1	2203	1896	321	21.748661	5.44848	Ndelle virus segment M2, complete sequence	179877	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	Mammalian orthoreovirus 4 Ndelle	Mammalian orthoreovirus 4 Ndelle	ZEF38J	p1623	26743314
AF401755.1	2359	2280	2047	122.56768	32.447	Human rotavirus G2 strain KO-2 VP4 gene, complete cds	73034	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G2	Rotavirus G2	ZEF38J	p1623	26743314
AF495467.1	5097	5097	5712	154.7362	41.9043	Minute virus of canines non structural protein 1, NP1, virus protein 1, and virus protein 2 genes, complete cds	329639	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Carnivore bocaparvovirus 1	Canine minute virus	Canine minute virus	ZEF38J	p1623	26743314
AX344110.1	5234	2016	200	5.1369	1.42883	Sequence 65 from Patent WO0200924	185639	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Scindoambidensovirus	Orthopteran scindoambidensovirus 1	Acheta domestica densovirus	Acheta domestica densovirus	ZEF38J	p1623	26743314
AY237420.2	7458	3184	521	10.036535	2.61216	Sapovirus Mc10 polyprotein precursor, mRNA, complete cds; and unknown mRNA	234601	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Mc10	Sapovirus Mc10	ZEF38J	p1623	26743314
AY443350.1	15690	8564	967	8.690927	2.30456	Canine distemper virus isolate 00-2601, complete genome	11232	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Morbillivirus	Canine morbillivirus	unclassified Canine morbillivirus subspecies/strain	unclassified Canine morbillivirus strain	ZEF38J	p1623	26743314
AY646856.2	7500	7284	3515	66.97932	17.5246	Sapovirus NongKhai-24/Thailand, complete genome	300717	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus NongKhai-24/Thailand	Sapovirus NongKhai-24/Thailand	ZEF38J	p1623	26743314
AY720891.1	6723	5098	7923	163.59105	44.0668	Human astrovirus type 4 strain Dresden, complete genome	35300	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 4	Human astrovirus 4	ZEF38J	p1623	26743314
BK000403.1	31323	1235	122	0.5260642	0.14564	TPA: Canine adenovirus type 2, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZEF38J	p1623	26743314
D14723.1	2363	2090	1756	110.06371	27.7872	Rotavirus sp. FRV64 mRNA for VP4 (VP8 and VP5 region) complete cds	39010	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Feline rotavirus	Feline rotavirus frv-64	Feline rotavirus frv-64	ZEF38J	p1623	26743314
DQ125333.1	7437	3219	538	10.569919	2.70501	Sapovirus Hu/Angelholm/SW278/2004/SE polyprotein mRNA, complete cds; and unknown genes	343513	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/Angelholm/SW278/2004/SE	Sapovirus Hu/Angelholm/SW278/2004/SE	ZEF38J	p1623	26743314
DQ220017.1	1435	920	102	10.699611	2.65787	Reovirus sp. T2W segment S1 cell attachment protein sigma 1 gene, complete cds	349399	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	Reovirus sp. T2W	Reovirus sp. T2W	ZEF38J	p1623	26743314
